N_A,N_B,cost_元,x,m,p_hat,ci_lower,ci_upper,point_est_feasible,main_seed_verdict,main_seed_m,verify_seed_verdict,verify_seed_m
292,2773,8.980661479306901,10,200,0.05,0.027382645473457017,0.08957814852860962,False,insufficient,200,,
356,2206,8.980661479306901,23,200,0.115,0.07786373208518774,0.16664716944991373,False,insufficient,200,,
420,1639,8.980661479306901,50,200,0.25,0.195081679676731,0.3143409836577504,False,insufficient,200,,
484,1072,8.980661479306901,85,200,0.425,0.3585361249314706,0.4942906740688738,False,insufficient,200,,
548,505,8.980661479306901,135,200,0.675,0.607319850609677,0.7360842850561861,False,insufficient,200,,
164,3907,8.980661479306903,1,200,0.005,0.0008831687058453758,0.02777370469642793,False,insufficient,200,,
228,3340,8.980661479306903,2,200,0.01,0.0027466581088489593,0.035721762026734716,False,insufficient,200,,
43,4979,8.980687659245682,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
107,4412,8.980687659245682,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
171,3845,8.980687659245682,1,200,0.005,0.0008831687058453758,0.02777370469642793,False,insufficient,200,,
235,3278,8.980687659245682,2,200,0.01,0.0027466581088489593,0.035721762026734716,False,insufficient,200,,
299,2711,8.980687659245682,11,200,0.055,0.03098534156570805,0.09578699916966896,False,insufficient,200,,
363,2144,8.980687659245682,23,200,0.115,0.07786373208518774,0.16664716944991373,False,insufficient,200,,
427,1577,8.980687659245682,52,200,0.26,0.2041383002358024,0.32490745656529973,False,insufficient,200,,
491,1010,8.980687659245682,90,200,0.45,0.38264068350836655,0.5192438491585296,False,insufficient,200,,
555,443,8.980687659245682,139,200,0.695,0.6280144784717092,0.7546358441273952,False,insufficient,200,,
306,2649,8.98071383918446,13,200,0.065,0.03837635449161451,0.10801907971038324,False,insufficient,200,,
370,2082,8.98071383918446,24,200,0.12,0.0819799268161472,0.17234252145226464,False,insufficient,200,,
434,1515,8.98071383918446,58,200,0.29,0.23154025564693195,0.3563747815540324,False,insufficient,200,,
498,948,8.98071383918446,94,200,0.47,0.4020475482110944,0.5390831713890433,False,insufficient,200,,
50,4917,8.980713839184462,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
114,4350,8.980713839184462,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
178,3783,8.980713839184462,1,200,0.005,0.0008831687058453758,0.02777370469642793,False,insufficient,200,,
242,3216,8.980713839184462,4,200,0.02,0.007804426362159347,0.05028708724004506,False,insufficient,200,,
562,381,8.980713839184462,148,200,0.74,0.6750925434347002,0.7958616997641975,False,insufficient,200,,
121,4288,8.98074001912324,1,200,0.005,0.0008831687058453758,0.02777370469642793,False,insufficient,200,,
185,3721,8.98074001912324,1,200,0.005,0.0008831687058453758,0.02777370469642793,False,insufficient,200,,
249,3154,8.98074001912324,4,200,0.02,0.007804426362159347,0.05028708724004506,False,insufficient,200,,
441,1453,8.98074001912324,61,200,0.305,0.2453641558726048,0.3719855215282907,False,insufficient,200,,
505,886,8.98074001912324,102,200,0.51,0.44118587625055616,0.5784372172160646,False,insufficient,200,,
569,319,8.98074001912324,155,200,0.775,0.7122587671141067,0.8273763032179636,False,insufficient,200,,
57,4855,8.980740019123242,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
313,2587,8.980740019123242,14,200,0.07,0.04215217166140097,0.11405480927390717,False,insufficient,200,,
377,2020,8.980740019123242,24,200,0.12,0.0819799268161472,0.17234252145226464,False,insufficient,200,,
0,5360,8.980766199062021,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
64,4793,8.980766199062021,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
128,4226,8.980766199062021,1,200,0.005,0.0008831687058453758,0.02777370469642793,False,insufficient,200,,
192,3659,8.980766199062021,2,200,0.01,0.0027466581088489593,0.035721762026734716,False,insufficient,200,,
256,3092,8.980766199062021,4,200,0.02,0.007804426362159347,0.05028708724004506,False,insufficient,200,,
320,2525,8.980766199062021,14,200,0.07,0.04215217166140097,0.11405480927390717,False,insufficient,200,,
384,1958,8.980766199062021,27,200,0.135,0.09446570427968658,0.18929138418865638,False,insufficient,200,,
448,1391,8.980766199062021,63,200,0.315,0.2546232094605245,0.38234956140699167,False,insufficient,200,,
512,824,8.980766199062021,105,200,0.525,0.45597395960896836,0.5930837740575836,False,insufficient,200,,
576,257,8.980766199062021,160,200,0.8,0.7391448129154138,0.8495479910832086,False,insufficient,200,,
327,2463,8.9807923790008,14,200,0.07,0.04215217166140097,0.11405480927390717,False,insufficient,200,,
391,1896,8.9807923790008,31,200,0.155,0.11139636898322336,0.21160690641836105,False,insufficient,200,,
455,1329,8.9807923790008,69,200,0.345,0.2825979433061415,0.41324410796123684,False,insufficient,200,,
519,762,8.9807923790008,112,200,0.56,0.4907167528014922,0.6270218079982324,False,insufficient,200,,
583,195,8.9807923790008,164,200,0.82,0.7608852492032754,0.8670537417285882,False,insufficient,200,,
7,5298,8.980792379000802,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
71,4731,8.980792379000802,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
135,4164,8.980792379000802,1,200,0.005,0.0008831687058453758,0.02777370469642793,False,insufficient,200,,
199,3597,8.980792379000802,2,200,0.01,0.0027466581088489593,0.035721762026734716,False,insufficient,200,,
263,3030,8.980792379000802,7,200,0.035,0.01705554191525804,0.0704706118868775,False,insufficient,200,,
14,5236,8.98081855893958,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
206,3535,8.98081855893958,2,200,0.01,0.0027466581088489593,0.035721762026734716,False,insufficient,200,,
590,133,8.98081855893958,168,200,0.84,0.782859297881253,0.884325879983852,False,insufficient,200,,
78,4669,8.980818558939582,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
142,4102,8.980818558939582,1,200,0.005,0.0008831687058453758,0.02777370469642793,False,insufficient,200,,
270,2968,8.980818558939582,6,200,0.03,0.013820314259191425,0.06389429280963374,False,insufficient,200,,
334,2401,8.980818558939582,16,200,0.08,0.04984058570487163,0.12598948869705726,False,insufficient,200,,
398,1834,8.980818558939582,33,200,0.165,0.11996855297651625,0.22265781589168893,False,insufficient,200,,
462,1267,8.980818558939582,73,200,0.365,0.30140526417602626,0.4336829740245936,False,insufficient,200,,
526,700,8.980818558939582,120,200,0.6,0.5308367198423567,0.6653942148238506,False,insufficient,200,,
21,5174,8.98084473887836,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
85,4607,8.98084473887836,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
149,4040,8.98084473887836,1,200,0.005,0.0008831687058453758,0.02777370469642793,False,insufficient,200,,
213,3473,8.98084473887836,2,200,0.01,0.0027466581088489593,0.035721762026734716,False,insufficient,200,,
277,2906,8.98084473887836,6,200,0.03,0.013820314259191425,0.06389429280963374,False,insufficient,200,,
341,2339,8.98084473887836,19,200,0.095,0.061663102507449205,0.14360161209441077,False,insufficient,200,,
405,1772,8.98084473887836,35,200,0.175,0.1286051503455461,0.23364431198927976,False,insufficient,200,,
469,1205,8.98084473887836,79,200,0.395,0.3298410096426624,0.4641165089578198,False,insufficient,200,,
533,638,8.98084473887836,126,200,0.63,0.5612262986885862,0.6938739163774834,False,insufficient,200,,
597,71,8.98084473887836,3488,4000,0.872,0.8612885416763443,0.8819976325048674,False,insufficient,4000,,
28,5112,8.980870918817141,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
92,4545,8.980870918817141,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
156,3978,8.980870918817141,1,200,0.005,0.0008831687058453758,0.02777370469642793,False,insufficient,200,,
220,3411,8.980870918817141,2,200,0.01,0.0027466581088489593,0.035721762026734716,False,insufficient,200,,
284,2844,8.980870918817141,7,200,0.035,0.01705554191525804,0.0704706118868775,False,insufficient,200,,
348,2277,8.980870918817141,19,200,0.095,0.061663102507449205,0.14360161209441077,False,insufficient,200,,
412,1710,8.980870918817141,41,200,0.205,0.15486176168906182,0.2662569810456263,False,insufficient,200,,
476,1143,8.980870918817141,80,200,0.4,0.3346057851761492,0.46916328015764336,False,insufficient,200,,
540,576,8.980870918817141,130,200,0.65,0.5816346428084853,0.7127117591908259,False,insufficient,200,,
604,9,8.980870918817141,3545,4000,0.88625,0.8760376818295014,0.8957211482175229,False,insufficient,4000,,
35,5050,8.980897098755921,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
99,4483,8.980897098755921,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
163,3916,8.980897098755921,1,200,0.005,0.0008831687058453758,0.02777370469642793,False,insufficient,200,,
227,3349,8.980897098755921,2,200,0.01,0.0027466581088489593,0.035721762026734716,False,insufficient,200,,
291,2782,8.980897098755921,10,200,0.05,0.027382645473457017,0.08957814852860962,False,insufficient,200,,
355,2215,8.980897098755921,23,200,0.115,0.07786373208518774,0.16664716944991373,False,insufficient,200,,
419,1648,8.980897098755921,50,200,0.25,0.195081679676731,0.3143409836577504,False,insufficient,200,,
483,1081,8.980897098755921,84,200,0.42,0.3537359911147436,0.48927926115229037,False,insufficient,200,,
547,514,8.980897098755921,134,200,0.67,0.6021668471867698,0.7314257417457829,False,insufficient,200,,
106,4421,8.9809232786947,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
170,3854,8.9809232786947,1,200,0.005,0.0008831687058453758,0.02777370469642793,False,insufficient,200,,
234,3287,8.9809232786947,2,200,0.01,0.0027466581088489593,0.035721762026734716,False,insufficient,200,,
