N_A,N_B,cost_元,x,m,p_hat,ci_lower,ci_upper
12,5248,8.971236701346132,0,100,0.0,0.0,0.03699349876899627
12,5249,8.972912217428046,0,100,0.0,0.0,0.03699349876899627
12,5250,8.974587733509962,0,100,0.0,0.0,0.03699349876899627
12,5251,8.976263249591875,0,100,0.0,0.0,0.03699349876899627
12,5252,8.977938765673791,0,100,0.0,0.0,0.03699349876899627
12,5253,8.979614281755705,0,100,0.0,0.0,0.03699349876899627
12,5254,8.98128979783762,0,200,0.0,0.0,0.018845326668962936
12,5259,8.989667378247193,0,25,0.0,0.0,0.13319225276039096
12,5261,8.993018410411022,0,25,0.0,0.0,0.13319225276039096
12,5262,8.994693926492936,0,200,0.0,0.0,0.018845326668962936
12,5294,9.048310441114202,0,200,0.0,0.0,0.018845326668962936
12,5302,9.061714569769519,0,200,0.0,0.0,0.018845326668962936
12,5310,9.075118698424834,0,200,0.0,0.0,0.018845326668962936
13,2591,4.534234496987368,0,25,0.0,0.0,0.13319225276039096
13,3944,6.801207755817763,0,25,0.0,0.0,0.13319225276039096
13,4621,7.935532143273917,0,25,0.0,0.0,0.13319225276039096
13,4959,8.501856578961037,0,25,0.0,0.0,0.13319225276039096
13,5128,8.785018796804598,0,25,0.0,0.0,0.13319225276039096
13,5213,8.927437663767336,0,25,0.0,0.0,0.13319225276039096
13,5234,8.96262350148754,0,25,0.0,0.0,0.13319225276039096
13,5237,8.967650049733285,0,100,0.0,0.0,0.03699349876899627
13,5238,8.969325565815199,0,100,0.0,0.0,0.03699349876899627
13,5239,8.971001081897114,0,100,0.0,0.0,0.03699349876899627
13,5240,8.972676597979028,0,100,0.0,0.0,0.03699349876899627
13,5241,8.974352114060943,0,100,0.0,0.0,0.03699349876899627
13,5242,8.976027630142857,0,100,0.0,0.0,0.03699349876899627
13,5243,8.977703146224773,0,100,0.0,0.0,0.03699349876899627
13,5244,8.979378662306686,0,100,0.0,0.0,0.03699349876899627
13,5245,8.9810541783886,0,200,0.0,0.0,0.018845326668962936
13,5250,8.989431758798174,0,25,0.0,0.0,0.13319225276039096
13,5252,8.992782790962004,0,25,0.0,0.0,0.13319225276039096
13,5253,8.994458307043917,0,200,0.0,0.0,0.018845326668962936
13,5285,9.048074821665184,0,200,0.0,0.0,0.018845326668962936
13,5293,9.061478950320499,0,200,0.0,0.0,0.018845326668962936
13,5301,9.074883078975816,0,200,0.0,0.0,0.018845326668962936
14,2582,4.533998877538349,0,25,0.0,0.0,0.13319225276039096
14,3935,6.800972136368744,0,25,0.0,0.0,0.13319225276039096
14,4612,7.935296523824898,0,25,0.0,0.0,0.13319225276039096
14,4950,8.501620959512017,0,25,0.0,0.0,0.13319225276039096
14,5119,8.784783177355578,0,25,0.0,0.0,0.13319225276039096
14,5204,8.927202044318316,0,25,0.0,0.0,0.13319225276039096
14,5225,8.96238788203852,0,25,0.0,0.0,0.13319225276039096
14,5228,8.967414430284265,0,100,0.0,0.0,0.03699349876899627
14,5229,8.969089946366179,0,100,0.0,0.0,0.03699349876899627
14,5230,8.970765462448094,0,100,0.0,0.0,0.03699349876899627
14,5231,8.972440978530008,0,100,0.0,0.0,0.03699349876899627
14,5232,8.974116494611922,0,100,0.0,0.0,0.03699349876899627
14,5233,8.975792010693837,0,100,0.0,0.0,0.03699349876899627
14,5234,8.97746752677575,0,100,0.0,0.0,0.03699349876899627
14,5235,8.979143042857666,0,100,0.0,0.0,0.03699349876899627
14,5236,8.98081855893958,0,200,0.0,0.0,0.018845326668962936
14,5241,8.989196139349154,0,25,0.0,0.0,0.13319225276039096
14,5244,8.994222687594897,0,200,0.0,0.0,0.018845326668962936
14,5276,9.047839202216164,0,200,0.0,0.0,0.018845326668962936
14,5284,9.061243330871479,0,200,0.0,0.0,0.018845326668962936
14,5292,9.074647459526796,0,200,0.0,0.0,0.018845326668962936
15,2573,4.53376325808933,0,25,0.0,0.0,0.13319225276039096
15,3926,6.8007365169197245,0,25,0.0,0.0,0.13319225276039096
15,4603,7.935060904375879,0,25,0.0,0.0,0.13319225276039096
15,4941,8.501385340062999,0,25,0.0,0.0,0.13319225276039096
15,5111,8.786223073988474,0,25,0.0,0.0,0.13319225276039096
15,5195,8.926966424869297,0,25,0.0,0.0,0.13319225276039096
15,5216,8.962152262589502,0,25,0.0,0.0,0.13319225276039096
15,5219,8.967178810835247,0,100,0.0,0.0,0.03699349876899627
15,5220,8.96885432691716,0,100,0.0,0.0,0.03699349876899627
15,5221,8.970529842999074,0,100,0.0,0.0,0.03699349876899627
15,5222,8.97220535908099,0,100,0.0,0.0,0.03699349876899627
15,5223,8.973880875162903,0,100,0.0,0.0,0.03699349876899627
15,5224,8.975556391244819,0,100,0.0,0.0,0.03699349876899627
15,5225,8.977231907326733,0,100,0.0,0.0,0.03699349876899627
15,5226,8.978907423408648,0,100,0.0,0.0,0.03699349876899627
15,5227,8.980582939490562,0,200,0.0,0.0,0.018845326668962936
15,5232,8.988960519900134,0,25,0.0,0.0,0.13319225276039096
15,5235,8.993987068145879,0,200,0.0,0.0,0.018845326668962936
15,5267,9.047603582767145,0,200,0.0,0.0,0.018845326668962936
15,5275,9.06100771142246,0,200,0.0,0.0,0.018845326668962936
15,5283,9.074411840077778,0,200,0.0,0.0,0.018845326668962936
