N_A,N_B,cost_元,x,m,p_hat,ci_lower,ci_upper,point_est_feasible,main_seed_verdict,main_seed_m,verify_seed_verdict,verify_seed_m
293,2795,9.032366858397234,7,200,0.035,0.01705554191525804,0.0704706118868775,False,insufficient,200,,
357,2228,9.032366858397234,21,200,0.105,0.06970748770124899,0.15518032036723173,False,insufficient,200,,
421,1661,9.032366858397234,45,200,0.225,0.17262369678203637,0.2877412328858932,False,insufficient,200,,
485,1094,9.032366858397234,83,200,0.415,0.34894285399844827,0.4842608515352753,False,insufficient,200,,
549,527,9.032366858397234,136,200,0.68,0.6124810151086787,0.7407346672904946,False,insufficient,200,,
364,2166,9.032393038336012,23,200,0.115,0.07786373208518774,0.16664716944991373,False,insufficient,200,,
428,1599,9.032393038336012,50,200,0.25,0.195081679676731,0.3143409836577504,False,insufficient,200,,
492,1032,9.032393038336012,88,200,0.44,0.3729781920017676,0.5092832471985078,False,insufficient,200,,
556,465,9.032393038336012,143,200,0.715,0.6488465391585686,0.7730499703737773,False,insufficient,200,,
44,5001,9.032393038336014,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
108,4434,9.032393038336014,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
172,3867,9.032393038336014,1,200,0.005,0.0008831687058453758,0.02777370469642793,False,insufficient,200,,
236,3300,9.032393038336014,4,200,0.02,0.007804426362159347,0.05028708724004506,False,insufficient,200,,
300,2733,9.032393038336014,7,200,0.035,0.01705554191525804,0.0704706118868775,False,insufficient,200,,
51,4939,9.032419218274793,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
115,4372,9.032419218274793,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
179,3805,9.032419218274793,2,200,0.01,0.0027466581088489593,0.035721762026734716,False,insufficient,200,,
243,3238,9.032419218274793,4,200,0.02,0.007804426362159347,0.05028708724004506,False,insufficient,200,,
307,2671,9.032419218274793,9,200,0.045,0.02385254288504434,0.08329670438371192,False,insufficient,200,,
371,2104,9.032419218274793,23,200,0.115,0.07786373208518774,0.16664716944991373,False,insufficient,200,,
435,1537,9.032419218274793,54,200,0.27,0.2132344977387029,0.33543435252902004,False,insufficient,200,,
499,970,9.032419218274793,93,200,0.465,0.3971856410502652,0.5341335318165621,False,insufficient,200,,
563,403,9.032419218274793,152,200,0.76,0.6962665896736326,0.8139338404585067,False,insufficient,200,,
570,341,9.032445398213572,154,200,0.77,0.7069169558159164,0.8229065677828437,False,insufficient,200,,
58,4877,9.032445398213573,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
122,4310,9.032445398213573,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
186,3743,9.032445398213573,2,200,0.01,0.0027466581088489593,0.035721762026734716,False,insufficient,200,,
250,3176,9.032445398213573,4,200,0.02,0.007804426362159347,0.05028708724004506,False,insufficient,200,,
314,2609,9.032445398213573,9,200,0.045,0.02385254288504434,0.08329670438371192,False,insufficient,200,,
378,2042,9.032445398213573,27,200,0.135,0.09446570427968658,0.18929138418865638,False,insufficient,200,,
442,1475,9.032445398213573,58,200,0.29,0.23154025564693195,0.3563747815540324,False,insufficient,200,,
506,908,9.032445398213573,99,200,0.495,0.4264584530693174,0.5637300001973722,False,insufficient,200,,
1,5382,9.032471578152354,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
65,4815,9.032471578152354,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
129,4248,9.032471578152354,1,200,0.005,0.0008831687058453758,0.02777370469642793,False,insufficient,200,,
193,3681,9.032471578152354,2,200,0.01,0.0027466581088489593,0.035721762026734716,False,insufficient,200,,
257,3114,9.032471578152354,4,200,0.02,0.007804426362159347,0.05028708724004506,False,insufficient,200,,
321,2547,9.032471578152354,9,200,0.045,0.02385254288504434,0.08329670438371192,False,insufficient,200,,
385,1980,9.032471578152354,30,200,0.15,0.10713593533492477,0.20605579333334925,False,insufficient,200,,
449,1413,9.032471578152354,62,200,0.31,0.2499894479224967,0.37717177621170916,False,insufficient,200,,
513,846,9.032471578152354,107,200,0.535,0.46586646818343785,0.6028143589497348,False,insufficient,200,,
577,279,9.032471578152354,160,200,0.8,0.7391448129154138,0.8495479910832086,False,insufficient,200,,
200,3619,9.032497758091132,2,200,0.01,0.0027466581088489593,0.035721762026734716,False,insufficient,200,,
264,3052,9.032497758091132,4,200,0.02,0.007804426362159347,0.05028708724004506,False,insufficient,200,,
328,2485,9.032497758091132,9,200,0.045,0.02385254288504434,0.08329670438371192,False,insufficient,200,,
456,1351,9.032497758091132,66,200,0.33,0.26857425825421716,0.3978331528132302,False,insufficient,200,,
520,784,9.032497758091132,115,200,0.575,0.505709325931126,0.6414638750685293,False,insufficient,200,,
8,5320,9.032497758091134,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
72,4753,9.032497758091134,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
136,4186,9.032497758091134,1,200,0.005,0.0008831687058453758,0.02777370469642793,False,insufficient,200,,
392,1918,9.032497758091134,33,200,0.165,0.11996855297651625,0.22265781589168893,False,insufficient,200,,
584,217,9.032497758091134,163,200,0.815,0.755429371876425,0.8626980723221283,False,insufficient,200,,
15,5258,9.032523938029913,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
79,4691,9.032523938029913,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
335,2423,9.032523938029913,11,200,0.055,0.03098534156570805,0.09578699916966896,False,insufficient,200,,
